Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
кофе нескафе со сливками 10% и 1ч.л. меда,17,0.36,0.42,3
Шоколадный батончик 'Picnic' грецкий орех 'Alpen Gold',495,6,27,58
Пудинг,120,2,3,21
Палочки крабовые замороженные Своя Линия Своя Лінія,96,5,2,15
Хлеб тостовый зерновой нарезанный Европейский Кулиничи,278,9,6,50
сыр плавленый Орбита 20% Молочный мир,176,26,8,0
Напиток кофейный 3 в 1 с ароматом сгущённого молока Maccoffee,443,1,11,85
салат из помидоров огурцов и шпината с маслом,42,1,3,3
Суши с огурцом,90,2,0.7,19
Пирожное Медовик,368,6,22,36
сок вишневый Rich,46,0,0,12
Колбаса куриная полукопченая Забіяка,178,13,14,0
суп с фрикадельками из индейки,36,3,1,2
Миндальное молоко 1.5% Овсяша,42,1,2,6
Печеночная ливерная колбаса,200,4,16,2
ленивая овсянка на кефире,91,3,2,15
Смесь ореховая Белое озеро,471,9,31,38
чурчхела с грецким орехом в гранатовом соке,345,6,10,58
Филе куриное. сыр. грибы запеченное,163,20,9,0.3
минеральная вода газированная Рычал-су,0,0,0,0
намазка из мяса с томатами Namazka,390,8,39,2
Шоколадный батончик Bueno Kinder,572,9,37,50
Бифидойогурт 1.5% Вишня-Чиа Активиа,71,3,2,11
Пирожки Пигоди свинина и капуста,192,7,7,26
Трубочки вафельные 350 г.,475,7,23,60
тыквенный суп-пюре с картофелем,49,1,0.2,8
Печенье 'Ореховое с глазурью' 'Юбилейное',477,7,21,64
Шоколад темный с цельным лесным орехом Ritter Sport,572,8,41,39
плов с говядиной Домашний очаг,250,6,14,25
Йогурт Карпатський 2.2% вишня-Галичина Галичина,85,3,2,13
Компот без сахара,59,0.8,0.1,14
зефир с ароматом ванили Lucky Days,320,0,0,80
Курица тушеная с грибами,130,8,11,2
чай гринслим,0,0,0,0
Колбаса Вязанка варенка,166,10,14,0
тушеная грудка с овощами,98,12,4,3
Сухарики шашлык с кетчупом Кириешки,380,10,10,63
Шоколад с кусочками печенья MMMax Орео Oreo Milka,551,5,34,56
чипсы со вкусом белые грибы со сметаной Lays Лэйс,520,6,32,52
сате тушеное ( без картошки),30,1,0.3,6
Десерт творожный крем сливочный злаковые шарики со вкусом шоколада Машенька,154,7,5,20
лаваш армянский тонкий Кулиничи,218,7,0.9,47
панкейки с бананом,131,7,4,16
карамельные конфеты с шоколадной начинкой классические MELLER,410,3,9,79
шоколадка молочная Россия щедрая душа,539,6,30,59
Суп грибной с курицей,32,2,2,2
Сырники с изюмом Ермолино,249,16,13,17
икра грибная домашняя,134,3,12,3
Тостовый хлеб белый пшеничный Хлебный Дом,266,8,4,59
ананас сушенный (цукаты),340,1,1,85
йогурт белорусский 2% без наполнителя Молочный мир,70,3,2,10
Жареный тофу,222,11,17,6
Гречка с молоком и маслом,146,8,5,25
Вода минеральная Нарзан,0,0,0,0
Конфеты глазированные Konafetto Bianco Roshen,523,4,29,61
Перловка на курином бульоне,99,5,3,12
Ветчина из куриного филе вареная Natura,116,20,3,2
Йогурт 1.5% безлактозный без сахара На Здоровье,44,3,2,5
рис с тушенкой,122,4,3,18
конфета грильяж с арахисом,504,8,24,64
Хлеб Подольский Владхлеб,235,8,1,46
картофельные зразы с мясом «Ермолино»,186,8,10,16
Картофель по-деревенски 'Макдональдс',200,2,9,26
Пельмени домашние Мираторг,290,8,16,28
мясо курицы,190,16,14,0
Хлопья шоколадные,360,8,4,73
Торт Медовик со сметанным кремом Mirel,389,5,20,46
Яичница на воде,172,13,12,1
Макароны с курицей в сливках,190,17,6,18
Огурцы солёные по-домашнему Знаток,10,0.8,0,2
Молочный шоколад с арахисом Яшкино,560,12,37,45
Соус соевый классический Hokkaido Club,51,3,0.02,10
Батончик протеиновый с кофе глазированный кондитерской глазурью Monsters,441,26,16,47
Килька обжаренная в томатном соусе Вкусные консервы,180,14,12,4
Молочно-банановый коктейль,72,3,2,10
Шиповник натуральный растворимый Fitolain,280,4,0.2,66
Рисовая молочная каша,93,3,2,15
Молоко 2.5% Вкуснотеево,53,3,2,5
Кабачковые оладьи с зеленью без масла,121,6,4,12
пироги с рыбой,267,12,12,26
конфеты Nesquik mini Несквик мини,481,5,22,64
крыло куриное в медово-соевом соусе,177,24,7,3
Кофе в зернах молотый сухой с молоком,24,1,1,2
Конфеты Мишка косолапый Красный Октябрь,530,6,30,59
Суп-пюре из брокколи,32,3,1,3
Сырники (творожники) в духовке,124,18,5,5
Чай Forest Dream малина черника Tess,0,0,0,0
Сыр плавленый 38% Дружба Весела Корівка,190,10,13,8
шоколад темный с начинкой Марципан Ritter sport,494,7,27,52
Сыр львиное сердце,308,24,23,0
Хлеб дарница Покровский хлеб,197,8,0.7,48
эклеры со сливочным кремом,215,5,13,21
паркур конфета с орехами,490,6,24,61
Пряники с варёной сгущенкой Яшкино,420,4,15,75
Пирожное Картошка с кремом,392,4,20,49
Мясо вяленое с базиликом,274,55,6,0
Отбивная из индейки в яйце,92,18,2,0.08
жевательная резинка Eclipse Ледяная Ягода Wrigley's,175,0,0,75
Чипсы картофельные со вкусом сыра Люкс,520,6,33,50
Хлеб боярский Русский хлеб,212,6,1,45
Кофе растворимый Триумф Арабика Жокей,2,0.2,0,0.3
фраппе,57,8,2,1
Куриные нагетсы замороженные Quick-Frozen Ripp-Ropp,268,7,16,23
Сырок творожный глазированный в молочной глазури с молоком сгущенным вареным Пора есть,379,8,22,38
Йогурт с клубникой Alpenland,80,2,0.3,17
Чипсы из печи сметана и ароматные травы Lays Лэйс,440,6,16,69
Морковка по корейски 1,114,0.7,8,9
BCAA 8:1:1,396,90,0,4
отварной черный рис,65,2,0.63,13
двойная радость.Печенье с карамелью глазированное,480,5,23,63
творог 5% Обережье,105,12,5,3
Хлеб Рижский Кулиничи,205,5,1,46
Пельмени Домашние рецепты,220,9,10,25
запечённая картошка с индейкой и сыром,128,9,6,7
Смесь яичная Белок яичный Ovostar,44,10,0,1
Картошка толчоная,115,3,5,14
Мука овсяная,408,14,6,65
купаты свино-куриные,271,15,23,0
Пирог с яблоком и грушей,85,4,3,12
Горячий шоколад с молоком,107,4,3,14
кофе растворимый Nescafe classic crema,116,8,0.2,3
картошка в мультиварке,239,21,3,33
куриный суп с плавленый сыром,135,11,8,10
Халва подсолнечная ванильная Своя Линия,562,14,39,41
Кефир 2.5% Славянские традиции,50,3,2,4
Куриные рубленные котлеты пп,150,26,5,4
салат помидоры чеснок сыр,163,5,14,4
пряники Зебра,372,5,5,76
слойка с вишней бкк,380,6,17,50
Треугольники Домашние,238,11,10,27
гранатовый чай,0,0,0,0
батончик протеиновый молочный в молочном шоколаде Smart formula,406,25,27,17
Творог со сметаной и джемом,217,17,10,14
Том Ям,82,4,6,3
Соус чесночный Heinz,364,2,35,11
Кефир 2.5% Селянський Селянське,49,3,2,4
Клечатка пшеничная Сибирская Клетчатка,165,8,2,5
булочка с мясом,219,12,12,17
напиток Кола Красная цена,0.41,0,0,0
Изолят сывороточного белка Едим с пользой,391,90,1,3
Напиток кофейный растворимый 3 в 1 со вкусом карамели MacCoffee,431,2,8,87
Холодник со свеклой и яйцом,38,1,2,6
сухой завтрак хлопья мультизерновые «4 злака» Витьба® Active Витьба® Актив,360,9,2,78
Сыр легкий 25% Король сыров,231,31,12,0
хлеб из клетчатки,47,9,0.21,2
Хрустящие вафли с халвой Яшкино,504,8,26,60
Чипсы картофельные натуральные со вкусом паприки paprika Lays,525,6,34,52
баранка яичная,298,7,8,51
Адель конфеты с цельным миндалем Акконд,596,8,42,47
Блины с маслом и сахаром,269,6,12,35
Отбивные куриные в панировке,251,17,15,12
Гренки из пшеничного хлеба,214,10,1,44
ролин с сыром брынзой и шпинатом,170,6,4,24
Творог сыр кисломолочный 5% Молокия,116,16,5,2
картошка жареная с калбасой и яйцом,285,8,25,8
Ребро свиное тушеное с луком и морковкой,213,15,20,2
Смесь хлопьев из резаной крупы Микс трех злаков Otti,377,10,4,75
Хлеб славянский Катеринославхлеб,214,10,2,82
Хлопья мультизерновые Natural Harmony Axa,361,9,3,74
Холодный кофейный напиток,132,2,11,7
макароны Barilla отварные,116,3,0.4,23
лепешка Пита Турецкая Русский хлеб,219,8,1,44
хлебцы ржано-гречневые Полоцкие,329,10,2,68
бульон из филе индейки,34,8,0.3,0
Буженина куриная,110,19,3,1
Лаваш Армянский Київхліб,288,9,0.9,60
Паста шоколадно-ореховая Krem Chocofini,553,3,34,59
Айтвистер KFC,230,11,10,25
колаген,349,82,0,2
Хлеб Афанасьевский Каравай,235,6,4,45
Суп с капустой,17,0.5,0.8,2
филе куриное в соевом соусе,145,32,2,1
Ролл Филадельфия,142,10,7,11
Вафли арахисовые 'Рахат',524,12,31,51
Йогурт 1.5% питьевой с фруктовым наполнителем персик Ферма,79,3,2,13
творог 5% деревенский Бабушкина крынка,110,15,5,2
Рулет из лаваша с курицей. грибами и сыром,138,15,5,7
Отруби хрустящие овсяные с расторопшей Эльмика Elmika,230,14,5,34
Минтай жаренный в муке,168,14,10,6
Фруктовый лёд апельсин клубника со взрывной карамелью Бон пари,117,0.1,3,22
молоко 2.2% Беллакт,50,3,2,5
Сметанно-желейный торт с фруктами,103,3,6,9
щербет с арахисом Восточный Гость,430,5,11,77
кампот из клубники лесной замороженной,29,0,0,7
Запечёный картофель в фольге,93,2,1,17
Творог 2% Ляховичок,87,16,2,1
Соус барбекю со сливовым пюре Торчин,116,1,0.1,26
свинино-говяжья котлета на пару,193,14,13,6
"Торт ""Графские развалины""",225,5,9,32
Морс Облепиховый,63,0.13,0.4,15
Батон московский Хлебный дом,273,8,3,56
Чипсы картофельные со вкусом Сметаны и лука Люкс,522,6,33,51
Печень говяжья в сметане,132,11,7,5
Кофе напиток Якобс 3в1 мягкий Jakobs,460,2,18,72
свиная вырезка в духовке,162,21,8,0
Трюфель,580,5,43,43
пп блины из рисовой муки на молоке,135,7,5,23
Сыр творожный сливочный для бутербродов Sveza Савушкин,221,11,19,2
Колбаса варено-капченая Уральская Рубленая Уральский мясокомбинат,228,12,20,0
творог 10% жирности,169,19,10,5
Cыр плавленый президент с ветчиной ванночка President Президент,230,8,18,8
Сервелат Финский варено-копченой категории Великолукский мясокомбинат,250,14,22,0
мацарелла в заливке,260,19,20,0
батон с сыром плавленым,362,12,12,50
Холодец домашний,265,15,21,1
Самса с курицей и картошкой,222,11,10,22
натуральный белковый коктейль Bilko,380,87,0.4,3
крупа кукурузная,366,8,1,77
соус сырный Макдональдс,90,0.5,9,2
Икра кобачковая,50,1,3,5
Майонез классический провансаль Ряба,480,0.4,50,5
Суп гаспачо,20,0.9,0.9,2
семга на гриле,215,21,14,0
Печенье сахарное с арахисом и вкусом шоколада Артемон Конти Konti,466,7,22,60
Сахарное печенье Красная Цена,454,8,15,72
сыр копченый адыгейский,270,20,20,0.8
Сальтисон куриный Петруха,130,11,9,0
Молочный суп,117,4,3,18
Сок апельсиновый (без сахара) J7,35,0,0,9
Вафли с мягкой карамелью хлопьями покрыты белой глазурью White Rock Lion,492,4,22,69
Натуральный биойогурт термостатный без добавок Активиа,64,4,4,5
Молоко 3.2% для детей Яготинское,59,3,3,5
Гренки жареные,382,8,14,53
горбуша запеченая с овощами,221,21,13,4
Тушеная картошка с фаршем,111,5,6,9
Лапша с говядиной Горячая порция в стакане Ролтон,389,7,17,53
Яблоко симеренка,37,0.4,0.4,9
Напиток брожения пастеризованный сильногазированный Черный Квас Тарас,34,0,0,7
Картофель с курицей в духовке,92,9,3,8
ленивый голубец с говядиной,108,6,6,6
Курица в сметане с грибами,93,14,3,2
ржаные сухарики,347,10,0.5,61
Хлебцы хрустящие мультизлаковые тонкие Зарница,352,12,2,66
копченая кета рыба,186,20,12,0.95
йогурт питьевой с наполнителем злаки 1% Своя Линия,72,2,1,14
Шоколад молочный с цельным миндальными орехами Nut Selection Ritter Sport,556,10,37,45
Тушённая капуста пп,27,2,0.1,5
Шоколад молочный с шоколадной начинкой и вафлей Lacmi Roshen,545,8,34,50
Баранка ванильная Завод Алешина,337,9,2,69
Гейнер печенье Gainer mass up ActivLab,397,10,0.6,88
пиво 10 Крушовице Krusovice,37,0.5,0.01,3
Куриное филе жареное с грибами в сметане,100,9,6,2
Ролл запечённый норвежский Суши Весла,234,6,14,22
Суп куриный с перловкой,31,4,0.3,3
Вино сухое Просеко Вилла Йоланда,78,0,0,2
сырники из 5%творога в духовке,117,16,0.33,12
Молочный коктейль шоколадный,76,3,3,10
Сухарики пшеничные со вкусом Французский сыр Флинт Baguette Flint,486,13,16,73
творог 7%,119,11,7,3
Макаронные изделия Fusilli Pasta Reggia,364,12,1,73
Шашлык из филе индейки,181,25,7,0
Вино,84,0.1,0,5
Греческий салат с сиртаки,120,4,9,5
печенье с шоколадом Слодыч,440,2,15,67
готовый завтрак цельнозерновой Fitness,351,10,3,72
Отварной хек,95,18,2,0
Хлеб Финский Киевхлеб,233,6,1,48
Йогурт 2.5% полуниця-суниця Чудо,88,2,2,14
Сыр мягкий фета 45% Ферма,220,14,16,4
Лещ жареный,200,14,11,4
котлеты домашние запеченые,160,17,9,2
Цикорий со сливками,10,1,0.4,0.2
Хлебцы с луком особые Полоцкие Хлебцы,337,9,2,72
ветчина с индейкой Брестские традиции бмк,130,13,7,4
Сыр плавленный Янтарь Свежий ряд,208,6,16,9
лук порей,44,2,0.33,7
куриные ножки на гриле,206,25,11,0.02
каша овсяная на воде с изюмом,111,2,0.3,21
Пироженое Черный Принц,370,9,17,42
Мороженое 10% Тирамису Tiramisu Monaco Dessert Three Bears,201,4,10,25
Сыр кисломолочный 5% безлактозный Украинский,134,21,5,0.02
Снеки мясные из свинины One Bite Kabanosy Original Кабаносы Дмитрук,490,25,41,5
Молоко 2.5% Нытвенское Нытвенский маслозавод,53,3,2,5
Манты с куриным фаршем,165,7,5,25
фунчоза с овощами по корейски,94,0.4,1,22
Сырок 5% взбитый Клубника Чудо,131,6,5,15
панини с курицей,165,7,9,14
готовый завтрак карамель-шоколад Lion,389,8,6,76
Варенка вареная сгущенка Масло-дел,300,3,12,48
Творог 6% Complimilk,120,15,6,2
Сыр 50% ломтиками Тенеро Милк Комо,359,25,29,1
кофе растворимый,75,0,0,14
мороженое молочное с печеньем-карамелью в шоколадной глазури Twix Твикс,286,1,14,36
перец фаршированный с мясом и рисом,92,5,5,8
кукуруза вареная молодая,119,4,1,23
Шарики медовые Хрутка Nestle,364,8,3,74
сыр твердый зрелый Домашний со вкусом пряжного молока 45% Світловодські сири,338,29,25,0
ржаной пирожок с яйц.и лук,179,9,4,24
Печенье сахарное чайное удовольствие Сладевиль,315,2,13,48
Молоко 2.5% Красная цена,53,3,2,5
Чипсы рифленые Лосось в сливочном соусе Lay's Лэйс,523,6,32,53
Ирис,387,3,8,82
Макароны в томатной пасте,267,8,4,49
сыр 45% голландский премиум Поставы городок,326,25,25,0
Плавленный сыр с ветчиной ванночка Сыробогатов,267,12,22,6
творожная масса с курагой 23%,340,8,23,30
Хлеб Заварной с подсолнечником Родные просторы,220,10,8,50
коллаген порoшковый с витамином С Primebar,347,75,0,11
хлебцы цельнозерновые ржаные Минские 365 дней на любой вкус,213,12,2,58
Сыр Gouda Swiatowid,344,26,26,1
Творожок детский 3.9% с наполнителем банан-яблоко Агуша,107,8,4,11
Льняная мука,275,26,17,2
Рис отборный длиннозерный Prosto,330,8,0.5,74
Хрен со свеклой нестерилизованный Украинский Верес,94,2,4,13
Томатный суп,38,0.48,3,2
Йогурт с наполнителем Ананас-Дыня 3.2% Lactel Дольче,102,3,3,15
Бутерброд с маслом и форелью,262,11,12,28
Хлеб 8 злаков Покровский,253,11,5,41
Вафли со вкусом шоколада Витоша Витьба,520,6,28,60
Хлеб чёрный зерновой подовый Катеринослав хлеб,318,15,15,89
Суп с галушками и курицей,85,3,4,9
Сметана 10% Селянська,115,3,10,3
мороженое пломбир с таёжной черникой в вафельном стаканчике Золотой стандарт,266,4,13,34
морская капуста маринованная,12,0.9,0.2,2
крылья варено-копченые,180,18,12,1
шоколадный батончик с жареным арахисом и мягкой карамелью Спринт Sprint KDV,518,11,31,49
тост с авокадо помидором и яйцом,112,4,6,11
йогурт двухслойный 2% киви. крыжовник Савушкин,93,3,2,16
Пахлава з ореховой начинкой Аль Хамуд,408,10,20,58
свинина нежирная сырая,160,19,7,0
Барни Дуо малина кокос пирожное,380,5,13,62
Хлебцы цельнозерновые Lucky,260,10,0.9,56
Индейка копченая Дымов,91,15,3,1
Мацони,56,3,3,4
Плавленый сыр колбасный копченый Янтарь,220,15,17,0
Роллы с креветками,150,8,4,41
Пицца домашняя с ветчиной,257,12,20,12
Сыр твердый 55% Хаварти Комо,377,21,33,0.5
Батончики творожные 23% глазированные с ароматом карамели и ванили Злагода,404,8,27,31
Позы домашние,213,12,8,24
Аскорбинка с витамином С Малина Витаминка,380,0,0.1,85
Протеиновый коктейль шоколадное печенье Herbalife,346,38,10,19
Печенье сдобное апельсин Яшкино,297,4,4,60
хрен,75,3,0.31,15
Чашка супа харчо с сухариками Knorr,340,7,8,59
нектар банан с мякотью Фруто няня,48,0,0,12
салат мясной с майонезом,200,10,16,7
Паштет печеночный,319,14,28,2
Каша пшеничная с мясом,127,5,6,13
Конфета ромашка Коммунарка,252,0.2,12,36
Творог 5% Авида,120,16,5,3
Сыр Адыгейский лёгкий 12% Верхний луг,143,26,4,4
донер кебаб,260,7,16,22
овсяное печенье пп с орехом и изюмом,256,9,10,29
куриный окорок жареный,247,25,14,3
Творог с клубникой и бананом Мама Лама,105,8,4,10
Капуста белокочанная маринованная,47,0.8,0.1,12
батончик глазированный шоколадный кокосовый Snaq Fabriq,399,8,28,9
конфета с арахисом в темном шоколаде black star Степ,353,6,20,37
Каша льняная в сухом виде,250,26,10,12
Кекс шоколадно-банановый пп,165,8,5,22
капуста тушёная с овощами,35,1,1,4
Чайный напиток ромашка с мелиссой Doctor Green,0,0,0,0
икра трески пробойная соленая Классическая,130,28,2,0
Салат из квашеной капусты и масла,63,2,4,12
борщ на курином бульоне со свеклой без мяса,25,2,0.38,4
овощи тушеные с грибами,101,2,8,4
Кофе 4 Guatemala Atitlan Jardin,92,15,3,0
Каша рисовая с тыквой,173,4,6,25
сухарики с чесноком,355,16,0,70
Крекеры Золотая рыбка Яшкино,420,8,13,67
макароны Пастораль,328,10,1,68
Сырок глазированный 18% Картошка Молочная страна,380,7,23,36
запеканка творожная с бананом,142,12,4,14
картошка с курицей,97,13,2,6
Филе пангасиуса тушеное,89,15,3,0
торт творожный с бисквитом,239,4,13,27
творожный глазированный сырок с ароматом ванили Бабушкина крынка,390,8,26,30
макароны Fusilli №98 Barilla,363,13,2,71
поке с лососем,146,4,5,20
мороженое в рожке extreme intriga экстрим интрига малина-банан Nestle Нестле,228,2,8,35
лаваш кукурузный,125,0.8,0.6,57
Кетчуп Махеевъ,80,1,0,19
Лапша -удон с овощами,165,5,3,29
Орех грецкий Красная цена,690,15,64,14
сыр творожный аппетитные креветки Violette,259,7,24,2
Оливковое масло нерафинированное La Espanola,884,0,100,0
Мороженое с ароматом ванили в вафельном стаканчике Своя Линия,183,4,8,23
Напиток энергетический безалкогольный сильногазированный Apple Kiwi Burn,46,0,0,11
Сок мультифруктовый Наш сок,39,0.1,0,10
Абрикосы сушеные с косточкой (урюк),227,5,0,53
сосиски венские Клинский,248,11,23,1
яйца 2 шт в микроволновке,141,11,8,0.7
персики консервированные,59,0.5,0.1,14
Крем-суп тыквенный,58,0.9,3,7
пицца на лаваше,160,7,10,13
Cметана 18% Свежие новости,184,3,18,3
Йогурт с высоким содержанием белка клубника арбуз Exponenta,68,12,0,5
Напиток газированный 7Up,30,0,0,7
Конфеты желейные неглазированные Rainbow Belts Yummi Gummi Roshen,344,2,4,72
яблоко садовое,47,0.4,0.4,10
Шоколад пористый white bubble chocolate белый Roshen,556,8,34,55
Протеиновый коктейль 100% Pure Whey Солёная карамель BioTech USA,389,78,6,5
Конфета Минский грильяж,388,2,10,74
Бисквит шоколадный,284,8,9,41
Красная фасоль Бондюэль bonduelle,87,4,0.2,16
Лаваш армянский по-деревенски Вкусвилл,261,9,1,54
печенье песочное Twix minis,498,4,24,65
сок яблоко-вишня с 5 мес Сады Придонья,46,0,0,12
Напиток энергетический апельсиновая энергия Adrenaline Rush Адреналин Раш энерджи,50,0.3,0,13
Печенье 'Спартак' постное с семечками подсолнечника и льном,420,10,13,63
Пиво 4.4% светлое пастеризованное Lagerbier Zibert,43,0.4,0,4
Джем персик и манго Махеев,273,0.3,0,68
салат тунец огурец яйцо,80,10,4,1
сыр диетический 20% Ровеньки,209,32,9,0
сливочно грибной соус,108,5,8,5
Творожок 13.5% сладкий с витаминами Детский Злагода,238,12,14,17
Конфеты натуральные яблочно-малиновые Равлик Боб Bob Snail,203,3,2,44
Крыло варено-копченное,170,24,8,0
пиво специальное 4.8% светлое пастеризованное пшеничное Blanc Кроненбург Kronenbourg 1664,45,0,0,4
творог домашний 9%,160,17,10,2
Творожок Воздушный манго Савушкин,107,6,4,13
Хлеб бездрожжевой подовый белый Хлебъ Иван Давыдовъ,220,6,0.7,47
Чипсы лук и сметана Московский картофель,550,6,37,48
Паста ореховая с добавлением какао Nut story KDV,530,6,31,57
Nl коктейль (латте),190,21,4,15
Перец сладкий гриль,27,1,0,5
Сыр сливочный Жаворонки,190,11,12,11
семена подсолнечника семечки жареные Семачос,578,21,53,5
Печенье брауни,454,6,27,45
индюшиная грудка в духовке,112,23,2,0.7
Хлебцы протеино-злаковые шоколадный брауни Protein Rex,345,20,16,20
сыр моцарелла голд,260,24,18,0
Протеин для похудения со вкусом ванили Newa Nutrition,360,64,0.5,20
Запеченные овощи (баклажаны. помидоры. огурец. + чайная ложка масла.соевого соуса. горчица.специи),66,1,4,5
Сыр твердый Джугас 40% Mild Dziugas,361,33,26,0
Тефтели из инд.с рисом,95,13,3,4
Вафли Wafers Итальянские без начинки соленые с томатом и базиликом Своя Линия,465,9,20,63
Конфеты Кара-Кум Рошен Roshen,538,5,31,57
творог традиционный 2% Славянские традиции,85,16,2,1
Фанта Fanta цитрус с лимонным соком,29,0,0,7
Молоко 1.5% Бабушкина крынка,45,3,2,5
кольраби,28,2,0.14,4
конфета нуга карамель Джаззи djazzy,456,6,20,63
Сыр голландский 45% Белебеевский молочный комбинат,334,27,25,0
Шаурма с сыром,154,11,5,15
творог 15 %,182,16,12,1
Булочка с творогом и изюмом,247,9,10,43
Кефир 1% с витаминами Злагода,40,3,1,5
конфеты Шокозаврики,443,5,18,70
молоко с бананом бариста Ne moloko,27,2,1,2
печень куриная с морковкой и луком,134,19,5,3
Конфеты Зоряне Сяйво Свиточ Світоч,494,8,23,62
Caramel молочный шоколад с карамелью Milka,481,4,24,62
Комплекс пищевых волокон Herbalife,267,0,0,50
гороховая каша с маслом и солью,140,7,2,23
Kinder Maxi King Ferrero,517,7,38,38
Крупа рисовая Рис шлифованный пропаренный Розумний вибір,323,7,0.6,77
Креатин Моногидрат 100% Creatine Monohydrate BioTechUSA,429,74,8,13
Котлета из говядины,213,14,12,14
Колбаса полукопченая говяжья халяль Идель,240,12,19,5
Пастрома из мяса птицы Гурман,135,29,2,1
грудинка,325,15,29,
кабачек с помидорами,46,2,2,4
биойогурт злаки 1% осень в отличной форме Биобаланс Bio Баланс,61,3,1,10
Сельдь филе матиас Прованс Санта Бремор,308,10,30,0
рис нешлифованный сухой,323,7,1,75
Смесь овощная глубокой заморозки Весенние овощи Hortex,37,3,0.5,4
простокваша Мечниковская термостатная 4% Славянские традиции,65,3,4,4
Молочная булочка с начинкой вареная сгущенка Русский бисквит,330,6,11,51
Курица тушёная с овощами и соусом,65,9,0.44,6
Слойка с творогом Ашан,312,8,17,31
Крекеры с луком и сметаной Yarych,464,9,20,59
Milka wholenut caramel,550,6,35,52
Сыр 45% мягкий Моцарелла Золотий Резерв,276,19,21,2
хрустящие мюсли гранола с шоколадом Granola chocolate Sante,454,9,17,63
окрошка с курицей на сметане с доставлением майонеза,72,4,4,3
Творог кисломолочный традиционный Домашній 9% Білоцерківський Белоцерковский,145,14,9,2
Окунь горячего копчения,166,23,8,0
Батончик глазированный FitnesShock,395,14,25,18
Хлеб ржаной низкокалорийный цельнозерновой на закваске Vito Грано,178,6,0.9,32
греческий йогурт 0% recký jogurt bílý Milko,58,10,0.3,4
Тёмный хлеб Водар Минскхлебпром,220,6,0.5,48
сметана 20% Домик в деревне,204,2,20,3
Яйца глазунья,242,12,20,0.7
Судак отварной,96,20,1,0
Пастила клюквенная Шарлиз,340,0.5,0,84
Пюре фруктовое детское банан. яблоко Когда я вырасту,74,0.7,0.4,16
Кофе растворимый крепкий 3 в 1 Петровская Слобода,418,4,6,86
Мармелад со вкусом черной смородины и семенами чиа Eco Botanica,315,2,1,73
Сырок творожный глазированный Плюш с ароматом ванили Савушкин,410,8,28,32
рулет индюшиный,158,17,10,0.42
Треска в кляре,160,14,5,16
Борщ овощной,42,1,1,7
филе индейки сырое,105,24,1,0.1
Био йогурт питьевой классический 1.8% Bio max,54,3,2,5
Кальмар горячего копчения,209,41,5,0
Хлеб многозерновой хлебозавод Юг Руси,240,8,6,39
Колбаса Венская салями полукопченая Останкино,236,20,14,0
Баклажаны тушеные с перцем.,61,0.9,4,5
Творог зерненый со сливками 5% Беллакт,98,11,5,22
Клетчатка ржаная с ягодами Сибирская клетчатка,81,8,3,5
белый йогурт классический 2.7% Простоквашино,66,4,3,6
Борщ домашний с говядиной,40,3,2,3
Крекер с солью Яшкино,450,9,15,67
Шоколадный батончик Mars minis,455,4,18,68
Пошехонский сыр Свежий ряд,320,25,25,0
Йогурт натуральный 0% с высоким содержанием белка Skyr naturalny FruVita,67,12,0,4
Котлета из фарша индейки на пару,150,13,10,2
Сыр купеческий Белебеевский,358,22,30,0
рыбные котлеты из хека,124,13,4,9
Булка подовая французькая зерновая Сильпо Крафтяр,239,10,3,47
Грудка индейки на гриле,84,19,0.7,0
Кукурузная каша на воде и молоке с сахаром,157,5,2,29
Лапша быстрого приготовления яичная со вкусом сыра и зеленью Rollton Ролтон,423,8,20,51
Творог 2% Danke,85,16,2,1
Конфеты финики в шоколаде с миндалем Самарский кондитер,300,7,15,31
Салат крабовый (со сметаной),112,9,1,15
Мюсли шоколадные с медом Start,406,7,15,62
Хлебцы рисово-кукурузные Wafle Karmel со вкусом карамели Good Food,380,6,4,80
консерва рыбная,148,19,8,0
Суп пшенный,62,4,2,6
копченый лосось,162,22,8,0.1
протеин impact whey isolate Myprotein,373,90,14,2
колбоса сервилат Бахрушинь,310,11,28,3
Протеиновый батончик какао Smart formula,401,25,26,0
Лепешка с сыром,300,13,11,37
Козинак арахисовый Азовская Кондитерская Фабрика,528,19,33,39
Сыр плавленый сливочный Хохланд Hochland,202,11,15,6
творожок яблоко банан 3.5% СуперКид Савушкин,96,6,4,10
напиток клубника Maxi-чай,25,0,0,6
чай с мятой без сахара,9,0.48,0.08,2
Овощное рагу с грибами без картофеля,54,2,3,5
Хумус закуска из нута классическая Yofi!,269,7,21,12
крупа пшеничная Увелка,334,12,1,66
Куриная грудка в духовке с овощами,145,19,7,0.8
"Торт ""Пражский""",441,5,19,63
Пастила фруктовая Черная смородина и яблоко Alexis,151,0.96,0.6,36
Конфеты карамель с молочно-кофейной начинкой Coffeelike Roshen,417,2,8,84
Омлет из 1 яйца с молоком в микроволновке,104,8,7,3
black monster Ultra energy,4,0,0,1
Шоколад молочный с шоколадной и молочной начинками и печеньем Milka Милка,558,5,34,55
"Кофе Латте ""Бургер Кинг"" Burger King",60,3,3,6
зефир с ароматом ванили Шарлиз,370,1,7,76
Сметана 25% Горянка,245,2,25,3
Сыр Эдам,330,24,26,0
Конфеты Монблан с шоколадом и сезамом Roshen,580,42,41,45
Блины на сыворотке,168,4,5,28
