Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
Картофельное пюре на воде,88,2,0.5,19
масло растительное,899,0,100,0
борщ со свеклой и капустой,65,2,1,12
Капучино без добавления сахара,42,2,2,3
Отбивная из куриной грудки,178,19,11,7
Молодая картошка с укропом,94,3,5,12
Курица тушеная,200,28,13,3
инжир,88,1,0.41,18
говядина отварная нежирная,175,26,8,0.2
Суп куриный с овощами,56,5,2,5
укроп (зелень),34,3,0.3,3
Оладьи из кабачков с яйцом,95,4,2,14
Черная смородина,89,1,0.27,17
Конфета,370,2,14,60
Салат Цезарь с курицей,180,13,7,4
сосиска куриная,171,18,11,2
Жаренная куриная грудка,178,29,7,0.6
хлебцы хрустящие злаковый коктейль абрикосовый Dr. Korrner,320,10,2,60
Котлета свино-говяжья,284,13,21,9
Лук зеленый,29,2,0.2,5
Грейпфрут красный,42,0.8,0.1,9
Морковь по-корейски,113,1,8,9
Хлеб классический серый,182,6,0.3,40
Кофе эспрессо,4,0.2,0.4,0
Шоколад черный 75% Элитный Бабаевский шоколад,530,10,37,32
свежие овощи,20,2,0.4,2
Куриная печень тушеная с луком,130,15,7,2
овощное рагу,98,1,6,5
петрушка (зелень),56,4,0.44,9
слива красная,43,0.8,0.3,10
Ежевика,73,1,0.95,12
плов из говядины,219,11,9,18
чай с молоком и сахаром,17,0.66,0.29,3
кофе натуральный со сливками,18,0.6,2,0.8
Дыня 'Колхозница',32,0.6,0.2,7
Варенье малиновое,205,0.6,1,48
Молочный шоколад,547,7,36,52
сухарики домашние,242,5,12,27
Сгущенное молоко,321,8,8,54
хлебцы класические,257,8,2,53
Капуста пекинская,23,1,0.2,3
салат из свежей капусты,73,2,4,7
Каша пшеничная на воде с маслом,158,4,7,22
Кешью,583,17,46,26
Омлет с помидором,105,8,7,2
Свинина тушеная,270,19,20,3
Икра кабачковая,97,2,7,10
яичница с помидорами,125,6,10,2
Яблоко Гала,54,0.2,0.4,11
Сыр творожный с зеленью Хохланд Hohland,226,6,21,4
Инжирный (фиговый) персик,43,0.7,0,9
Кефир 3.2% Простоквашино,57,3,3,4
Макароны по-флотски,196,12,14,11
Капуста цветная варёная,29,2,0.28,4
Семена льна,534,18,42,2
брокколи вареная,44,3,0.2,6
Ветчина,149,25,8,1
Какао на молоке 1.5%,66,4,2,9
Перловая каша на воде,112,3,0.4,22
Тыквенные семечки,581,36,46,2
Блинчики с творогом,193,10,6,26
Хлебцы тонкие ржаные Щедрые,327,11,3,64
Семена чиа,495,21,31,20
Грудка куриная,106,23,2,0
сыр моцарелла,281,19,22,2
арахис жареный соленый,615,24,51,11
арахис,630,26,49,18
Крабовые палочки,100,3,2,17
Вишня,51,0.8,0.2,12
Яблочный сок,46,1,0.1,10
виноград розовый,75,1,0,17
зефир бело-розовый,322,0.9,0,80
Куриное филе,110,21,2,0
тунец в собственном соку,101,23,1,0.1
салат капуста свежая и огурец,31,2,0.54,4
колбаса сырокопченая,515,14,51,0.4
творог домашний 8%,151,17,8,3
Куриная отбивная в кляре,206,23,14,7
Курага сушеная,291,5,0.53,67
Мороженное пломбир ванильный,231,4,15,20
свинина запечённая в духовке,255,27,15,0
рыба красная слабосоленая,187,21,12,0
квас,31,0.8,0.18,6
Молоко пастеризованное 2.5% Простоквашино,53,3,2,5
Каша рисовая на молоке,143,4,2,27
хлеб с отрубями,212,8,2,49
газированная вода,0,0,0,0
запаренная гречка,92,3,0.6,20
Рыба хек жаренный,126,20,4,3
Кетчуп томатный,114,3,2,18
огурцы малосольные,13,0.9,0.1,2
хлебец цельнозерновой,302,12,3,58
Картошка вареная с подсолнечным маслом и луком,120,2,4,15
Торт Наполеон,372,6,22,39
лаваш бездрожжевой,196,9,12,11
вино сухое красное,74,0.3,0,0.4
гарячий бутерброд с сыром и колбасой,292,11,16,18
молодой картофель отварной,68,2,0.6,13
Вареники с картофелем,141,5,2,30
котлета из домашнего фарша,230,16,18,1
орехи ассорти,653,22,55,12
Варенье клубничное,161,0.6,0.3,37
вермишель отварная,120,4,2,25
Груша Конференция,56,0.4,0.3,10
Сливки 10%,118,3,10,4
Дыня торпеда,35,0.6,0.4,7
Лимон,36,0.66,0.53,6
Пряники,336,6,3,78
Печенье песочное,523,6,26,66
Семга слабосоленая,198,21,13,0
Тушеные кабачки,58,1,2,7
Сгущенка 8.5%,323,3,8,58
куриный суп с вермишелью и картошкой,96,5,4,11
Жареный пирожок с картошкой,184,4,4,34
Винегрет овощной,76,2,5,7
Колбаса классическая вареная Вязанка,161,11,13,0
кетчуп Heinz,104,1,0.1,23
Кукуруза консервированная сладкая в зернах Globus,58,3,0.6,10
Суп,46,3,2,5
Рис тушеный с овощами,130,2,3,24
Печенье овсяное классическое Посиделкино,449,6,16,70
Салат крабовый с майонезом,134,7,8,2
перец зеленый сладкий,30,1,0.39,5
Чай зеленый с лимоном,2,0.07,0.02,0.43
Кабачок сырой,22,1,0.31,3
Свинина жареная,314,19,26,0
вино белое сухое,63,0.1,0,0.4
Цикорий без сахара с водой,11,0.1,0,3
горошек зеленый консервированный,38,3,0.2,11
Мороженое,198,3,10,24
Черный хлеб бездрожжевой,193,6,2,40
яблоки сезонные,47,0,0.4,10
Овсяноблин (овсянка. молоко. яйцо),143,8,7,13
каша овсяная на молоке с сахаром,152,5,4,24
Арахис жареный несоленый,602,25,49,12
Мясо тушеное,252,17,9,27
компот из сухофруктов,57,0.35,0.06,15
Суп-лапша с курицей,63,4,3,7
Творог 2% Простоквашино,104,18,2,3
батончик шоколадный Твикс Twix,493,4,24,65
бутерброд с маслом,316,7,15,38
хлебцы фитнеслайн Витамин плюс Хлебцы Молодцы,290,10,2,57
хлеб ржаной Дарницкий,180,5,0.3,39
Шашлык из курицы,150,26,5,2
борщ постный,29,0.8,0.6,5
Pepsi Cola (Пепси Кола),45,0,0,11
Пшенная каша на воде,123,4,1,24
Куриное бедро вареное,119,20,4,0.1
Запеченная скумбрия в духовке,178,18,12,1
Молочная манная каша,149,5,6,19
Огурец маринованный,16,1,0.1,2
Пшеничная каша вареная на воде,105,4,0.4,21
